Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Gini index,SI.POV.GINI,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Albania,ALB,..,..,34.6,32.8,33.7,33.1,30.1,30.1,29.4,..,..,..
Gini index,SI.POV.GINI,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Angola,AGO,..,51.9,..,..,..,..,51.3,..,..,..,..,..
Gini index,SI.POV.GINI,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Argentina,ARG,..,51,41.8,..,42.3,41.4,41.7,43.3,42.7,42.4,40.7,..
Gini index,SI.POV.GINI,Armenia,ARM,..,..,31.5,32.4,32.5,33.6,34.4,30,25.1,27.9,27.9,..
Gini index,SI.POV.GINI,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Australia,AUS,..,..,34.4,..,33.7,..,34.3,..,..,..,..,..
Gini index,SI.POV.GINI,Austria,AUT,..,29,30.5,30.5,30.8,29.7,30.8,30.2,29.8,30.7,..,..
Gini index,SI.POV.GINI,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Bangladesh,BGD,..,33.4,..,..,32.4,..,..,..,..,..,33.4,..
Gini index,SI.POV.GINI,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Belarus,BLR,..,31.2,27.2,25.6,25.3,25.4,25.2,25.3,24.4,..,..,..
Gini index,SI.POV.GINI,Belgium,BEL,..,33.1,28.1,27.7,27.6,27.4,27.2,27.2,26,26.6,..,..
Gini index,SI.POV.GINI,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Benin,BEN,..,..,..,47.6,..,..,37.9,..,..,34.4,..,..
Gini index,SI.POV.GINI,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Bhutan,BTN,..,..,..,..,..,37.4,..,..,..,..,28.5,..
Gini index,SI.POV.GINI,Bolivia,BOL,42,61.6,47.8,46.7,45.2,44.6,42.6,41.6,43.6,40.9,..,..
Gini index,SI.POV.GINI,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Botswana,BWA,..,..,..,53.3,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Brazil,BRA,60.4,..,52,51.9,53.4,53.3,53.9,53.5,48.9,52.9,52,..
Gini index,SI.POV.GINI,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Bulgaria,BGR,..,..,37.4,38.6,40.6,40.4,41.3,40.3,40.5,39,..,..
Gini index,SI.POV.GINI,Burkina Faso,BFA,..,..,35.3,..,..,..,43,..,..,37.4,..,..
Gini index,SI.POV.GINI,Burundi,BDI,..,..,..,..,..,..,..,..,37.5,..,..,..
Gini index,SI.POV.GINI,Cabo Verde,CPV,..,..,..,42.4,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Cameroon,CMR,..,..,46.6,..,..,..,..,..,..,42.2,..,..
Gini index,SI.POV.GINI,Canada,CAN,31.4,33.4,33.2,33.7,32.7,33.3,32.5,31.7,..,..,..,..
Gini index,SI.POV.GINI,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,43,..,..
Gini index,SI.POV.GINI,Chad,TCD,..,..,..,..,..,..,37.5,..,..,..,37.4,..
Gini index,SI.POV.GINI,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Chile,CHL,57.2,52.8,..,45.3,..,45.3,..,..,47,..,43,..
Gini index,SI.POV.GINI,China,CHN,32.2,..,39.2,38.6,38.5,39.1,38.5,38.2,37.1,35.7,..,..
Gini index,SI.POV.GINI,Colombia,COL,..,58.4,52.5,51,50.6,49.7,50.4,51.3,53.5,55.1,54.8,..
Gini index,SI.POV.GINI,Comoros,COM,..,..,45.3,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,44.7,..,..,..
Gini index,SI.POV.GINI,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Costa Rica,CRI,45.2,47.4,48.6,48.4,48.7,48.3,48,48.2,49.2,48.7,47.2,46.7
Gini index,SI.POV.GINI,Cote d'Ivoire,CIV,..,..,..,41.5,..,..,37.2,..,..,35.3,..,..
Gini index,SI.POV.GINI,Croatia,HRV,..,..,32.1,31.1,30.9,30.4,29.7,28.9,29.5,28.9,..,..
Gini index,SI.POV.GINI,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Cyprus,CYP,..,..,35.6,34,32.9,31.4,32.7,31.2,31.7,31.3,..,..
Gini index,SI.POV.GINI,Czechia,CZE,..,..,25.9,25.9,25.4,24.9,25,25.3,26.2,26.2,..,..
Gini index,SI.POV.GINI,Denmark,DNK,..,23.8,28.4,28.2,28.2,28.7,28.2,27.7,27.5,28.3,..,..
Gini index,SI.POV.GINI,Djibouti,DJI,..,..,..,..,..,41.6,..,..,..,..,..,..
Gini index,SI.POV.GINI,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Dominican Republic,DOM,..,51.5,44.3,45.2,45.7,42.2,43.7,41.9,39.6,38.5,37,..
Gini index,SI.POV.GINI,Ecuador,ECU,..,56.3,45,46,45,44.7,45.4,45.7,47.3,45.8,45.5,44.6
Gini index,SI.POV.GINI,"Egypt, Arab Rep.",EGY,32,..,..,31.8,..,31.5,..,31.9,..,..,..,..
Gini index,SI.POV.GINI,El Salvador,SLV,..,51.5,41.6,40.6,40,38,38.6,38.8,..,39,38.8,..
Gini index,SI.POV.GINI,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Estonia,EST,..,..,34.6,32.7,31.2,30.4,30.3,30.8,30.7,31.8,..,..
Gini index,SI.POV.GINI,Eswatini,SWZ,..,53.1,..,..,54.6,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Ethiopia,ETH,..,..,..,35,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Fiji,FJI,..,..,..,..,..,..,..,30.7,..,..,..,..
